STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,AT,Austria,2013,,1.44,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,AT,Austria,2014,,1.46,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,AT,Austria,2015,,1.49,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,AT,Austria,2016,,1.53,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,AT,Austria,2017,,1.52,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,AT,Austria,2018,,1.47,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,AT,Austria,2019,,1.46,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,AT,Austria,2020,,1.44,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,AT,Austria,2021,,1.48,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,AT,Austria,2022,,1.41,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,AT,Austria,2023,,1.32,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BE,Belgium,2013,,1.76,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BE,Belgium,2014,,1.74,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BE,Belgium,2015,,1.70,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BE,Belgium,2016,,1.68,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BE,Belgium,2017,,1.65,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BE,Belgium,2018,,1.62,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BE,Belgium,2019,,1.60,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BE,Belgium,2020,,1.55,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BE,Belgium,2021,,1.60,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BE,Belgium,2022,,1.53,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BE,Belgium,2023,,1.47,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2013,,1.54,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2014,,1.62,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2015,,1.64,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2016,,1.67,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2017,,1.71,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2018,,1.73,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2019,,1.79,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2020,,1.77,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2021,,1.80,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2022,,1.78,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,BG,Bulgaria,2023,,1.81,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CY,Cyprus,2013,,1.30,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CY,Cyprus,2014,,1.31,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CY,Cyprus,2015,,1.32,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CY,Cyprus,2016,,1.37,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CY,Cyprus,2017,,1.32,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CY,Cyprus,2018,,1.32,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CY,Cyprus,2019,,1.33,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CY,Cyprus,2020,,1.36,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CY,Cyprus,2021,,1.39,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CY,Cyprus,2022,,1.37,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CY,Cyprus,2023,,1.40,,b,break in time series,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CZ,Czechia,2013,,1.46,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CZ,Czechia,2014,,1.53,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CZ,Czechia,2015,,1.57,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CZ,Czechia,2016,,1.63,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CZ,Czechia,2017,,1.69,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CZ,Czechia,2018,,1.71,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CZ,Czechia,2019,,1.71,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CZ,Czechia,2020,,1.74,,b,break in time series,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CZ,Czechia,2021,,1.83,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CZ,Czechia,2022,,1.64,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,CZ,Czechia,2023,,1.46,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DE,Germany,2013,,1.42,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DE,Germany,2014,,1.47,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DE,Germany,2015,,1.50,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DE,Germany,2016,,1.60,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DE,Germany,2017,,1.57,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DE,Germany,2018,,1.57,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DE,Germany,2019,,1.54,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DE,Germany,2020,,1.53,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DE,Germany,2021,,1.58,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DE,Germany,2022,,1.46,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DE,Germany,2023,,1.39,,b,break in time series,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DK,Denmark,2013,,1.67,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DK,Denmark,2014,,1.69,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DK,Denmark,2015,,1.71,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DK,Denmark,2016,,1.79,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DK,Denmark,2017,,1.75,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DK,Denmark,2018,,1.73,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DK,Denmark,2019,,1.70,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DK,Denmark,2020,,1.68,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DK,Denmark,2021,,1.72,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DK,Denmark,2022,,1.55,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,DK,Denmark,2023,,1.50,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EA19,Euro area - 19 countries  (2015-2022),2013,,1.54,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EA19,Euro area - 19 countries  (2015-2022),2014,,1.56,,b,break in time series,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EA19,Euro area - 19 countries  (2015-2022),2015,,1.56,,b,break in time series,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EA19,Euro area - 19 countries  (2015-2022),2016,,1.58,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EA19,Euro area - 19 countries  (2015-2022),2017,,1.56,,b,break in time series,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EA19,Euro area - 19 countries  (2015-2022),2018,,1.53,,ep,"estimated, provisional",,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EA19,Euro area - 19 countries  (2015-2022),2019,,1.52,,bep,"break in time series, estimated, provisional",,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EA19,Euro area - 19 countries  (2015-2022),2020,,1.49,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EA19,Euro area - 19 countries  (2015-2022),2021,,1.51,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EA19,Euro area - 19 countries  (2015-2022),2022,,1.45,,bp,"break in time series, provisional",,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EA19,Euro area - 19 countries  (2015-2022),2023,,1.38,,bp,"break in time series, provisional",,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EE,Estonia,2013,,1.52,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EE,Estonia,2014,,1.54,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EE,Estonia,2015,,1.58,,b,break in time series,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EE,Estonia,2016,,1.60,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EE,Estonia,2017,,1.59,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EE,Estonia,2018,,1.67,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EE,Estonia,2019,,1.66,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EE,Estonia,2020,,1.58,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EE,Estonia,2021,,1.61,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EE,Estonia,2022,,1.41,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EE,Estonia,2023,,1.31,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EL,Greece,2013,,1.29,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EL,Greece,2014,,1.30,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EL,Greece,2015,,1.33,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EL,Greece,2016,,1.38,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EL,Greece,2017,,1.35,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EL,Greece,2018,,1.35,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EL,Greece,2019,,1.34,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EL,Greece,2020,,1.39,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EL,Greece,2021,,1.43,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EL,Greece,2022,,1.32,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,EL,Greece,2023,,1.26,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,ES,Spain,2013,,1.27,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,ES,Spain,2014,,1.32,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,ES,Spain,2015,,1.33,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,ES,Spain,2016,,1.33,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,ES,Spain,2017,,1.31,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,ES,Spain,2018,,1.26,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,ES,Spain,2019,,1.23,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,ES,Spain,2020,,1.18,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,ES,Spain,2021,,1.18,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,ES,Spain,2022,,1.16,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,ES,Spain,2023,,1.12,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FI,Finland,2013,,1.75,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FI,Finland,2014,,1.71,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FI,Finland,2015,,1.65,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FI,Finland,2016,,1.57,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FI,Finland,2017,,1.49,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FI,Finland,2018,,1.41,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FI,Finland,2019,,1.35,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FI,Finland,2020,,1.37,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FI,Finland,2021,,1.46,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FI,Finland,2022,,1.32,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FI,Finland,2023,,1.26,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FR,France,2013,,1.99,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FR,France,2014,,2.00,,b,break in time series,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FR,France,2015,,1.96,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FR,France,2016,,1.92,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FR,France,2017,,1.89,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FR,France,2018,,1.87,,p,provisional,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FR,France,2019,,1.86,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FR,France,2020,,1.82,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FR,France,2021,,1.83,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FR,France,2022,,1.78,,p,provisional,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,FR,France,2023,,1.66,,p,provisional,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,HR,Croatia,2013,,1.46,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,HR,Croatia,2014,,1.46,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,HR,Croatia,2015,,1.40,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,HR,Croatia,2016,,1.42,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,HR,Croatia,2017,,1.42,,,,,
dataflow,ESTAT:TPS00199(1.0),Total fertility rate,A,Annual,TOTFERRT,Total fertility rate,HR,Croatia,2018,,1.47,,,,,
